row_type,base_run_name,run_name,backend,model_name,seed,split_seed,num_runs,accuracy,accuracy_std,auc_0,auc_1,auc_2,auc_3,auc_4,auc_W,auc_W/Z/top,auc_W_std,auc_Z,auc_Z_std,auc_gluon,auc_gluon_std,auc_quark,auc_quark/gluon,auc_quark_std,auc_top,auc_top_std,cpu_latency_ms,cpu_latency_ms_std,gpu_latency_ms,gpu_latency_ms_std,macro_auc,macro_auc_std,model_size_bytes,model_size_bytes_std,parameter_count,parameter_count_std
run,binary_mlp_topo_128_32,binary_mlp_topo_128_32__seed44,pytorch,mlp_topo,44,42,,0.8593132530120482,,,,,,,,0.931833084581783,,,,,,,0.931833084809485,,,,0.03504246473312378,,,,0.931833084695634,,30510,,6337,
run,binary_qkeras_mlp_64_32_32_b7,binary_qkeras_mlp_64_32_32_b7__seed42,qkeras,qkeras_mlp,42,42,,0.8595903614457832,,,,,,,,0.9322736903719059,,,,,,,0.9322736903719058,,,,0.26700996793806553,,,,0.9322736903719058,,83896,,4257,
run,binary_qkeras_mlp_64_32_32_b7,binary_qkeras_mlp_64_32_32_b7__seed43,qkeras,qkeras_mlp,43,42,,0.8597469879518073,,,,,,,,0.9324038079534698,,,,,,,0.9324038079534698,,,,0.26306319516152143,,,,0.9324038079534698,,83896,,4257,
run,binary_qkeras_mlp_64_32_32_b7,binary_qkeras_mlp_64_32_32_b7__seed44,qkeras,qkeras_mlp,44,42,,0.8591927710843373,,,,,,,,0.9324786238076672,,,,,,,0.9324786238076672,,,,0.26163874194025993,,,,0.9324786238076672,,83896,,4257,
run,binary_qkeras_mlp_binary_64_32_32,binary_qkeras_mlp_binary_64_32_32__seed42,qkeras,qkeras_mlp,42,42,,0.8298855421686747,,,,,,,,0.8892548661222589,,,,,,,0.889254866122259,,,,0.25045977905392647,,,,0.889254866122259,,83896,,4257,
run,binary_qkeras_mlp_binary_64_32_32,binary_qkeras_mlp_binary_64_32_32__seed43,qkeras,qkeras_mlp,43,42,,0.8280783132530121,,,,,,,,0.8945885098994747,,,,,,,0.894588509899475,,,,0.2443786198273301,,,,0.8945885098994748,,83896,,4257,
run,binary_qkeras_mlp_binary_64_32_32,binary_qkeras_mlp_binary_64_32_32__seed44,qkeras,qkeras_mlp,44,42,,0.8303614457831325,,,,,,,,0.8819696778225912,,,,,,,0.8819696778225911,,,,0.2477876842021942,,,,0.8819696778225912,,83896,,4257,
run,binary_qkeras_mlp_ternary_64_32_32,binary_qkeras_mlp_ternary_64_32_32__seed42,qkeras,qkeras_mlp,42,42,,0.8374216867469879,,,,,,,,0.9036846535860731,,,,,,,0.903684653586073,,,,0.2570903394371271,,,,0.903684653586073,,83896,,4257,
run,binary_qkeras_mlp_ternary_64_32_32,binary_qkeras_mlp_ternary_64_32_32__seed43,qkeras,qkeras_mlp,43,42,,0.8329277108433735,,,,,,,,0.901214413673503,,,,,,,0.9012144136735027,,,,0.2607398247346282,,,,0.9012144136735029,,83896,,4257,
run,binary_qkeras_mlp_ternary_64_32_32,binary_qkeras_mlp_ternary_64_32_32__seed44,qkeras,qkeras_mlp,44,42,,0.8360060240963856,,,,,,,,0.9024909446317995,,,,,,,0.9024909446317997,,,,0.27182562276721,,,,0.9024909446317996,,83896,,4257,
run,binary_qkeras_topo_128_32_b7,binary_qkeras_topo_128_32_b7__seed42,qkeras,qkeras_mlp,42,42,,0.8594397590361446,,,,,,,,0.9325468456431844,,,,,,,0.9325468456431845,,,,0.2568596275523305,,,,0.9325468456431845,,104576,,6337,
run,binary_qkeras_topo_128_32_b7,binary_qkeras_topo_128_32_b7__seed43,qkeras,qkeras_mlp,43,42,,0.8597771084337349,,,,,,,,0.932652113663417,,,,,,,0.932652113663417,,,,0.2428610296919942,,,,0.932652113663417,,104576,,6337,
run,binary_qkeras_topo_128_32_b7,binary_qkeras_topo_128_32_b7__seed44,qkeras,qkeras_mlp,44,42,,0.8597530120481928,,,,,,,,0.9322459758655477,,,,,,,0.9322459758655476,,,,0.2500254148617387,,,,0.9322459758655477,,104576,,6337,
run,binary_qkeras_topo_binary_128_32,binary_qkeras_topo_binary_128_32__seed42,qkeras,qkeras_mlp,42,42,,0.8309457831325301,,,,,,,,0.8946455014783776,,,,,,,0.8946455014783775,,,,0.23242215160280466,,,,0.8946455014783776,,104576,,6337,
run,binary_qkeras_topo_binary_128_32,binary_qkeras_topo_binary_128_32__seed43,qkeras,qkeras_mlp,43,42,,0.8292710843373494,,,,,,,,0.8935592722126761,,,,,,,0.893559272212676,,,,0.23172258399426937,,,,0.893559272212676,,104576,,6337,
run,binary_qkeras_topo_binary_128_32,binary_qkeras_topo_binary_128_32__seed44,qkeras,qkeras_mlp,44,42,,0.8368072289156626,,,,,,,,0.9008506205312448,,,,,,,0.9008506205312447,,,,0.24683867115527391,,,,0.9008506205312448,,104576,,6337,
run,binary_qkeras_topo_ternary_128_32,binary_qkeras_topo_ternary_128_32__seed42,qkeras,qkeras_mlp,42,42,,0.840789156626506,,,,,,,,0.9080946709952539,,,,,,,0.9080946709952538,,,,0.2488026674836874,,,,0.9080946709952538,,104576,,6337,
run,binary_qkeras_topo_ternary_128_32,binary_qkeras_topo_ternary_128_32__seed43,qkeras,qkeras_mlp,43,42,,0.8401987951807229,,,,,,,,0.9072378286012781,,,,,,,0.9072378286012782,,,,0.2570173190906644,,,,0.9072378286012781,,104576,,6337,
run,binary_qkeras_topo_ternary_128_32,binary_qkeras_topo_ternary_128_32__seed44,qkeras,qkeras_mlp,44,42,,0.8374156626506024,,,,,,,,0.9080463169075835,,,,,,,0.9080463169075836,,,,0.25200437288731337,,,,0.9080463169075836,,104576,,6337,
run,binary_topqg_bit158_sigmoid_f7_fixed,binary_topqg_bit158_sigmoid_f7_fixed__seed42,pytorch,bit158_mlp,42,42,,0.8997066798375147,,,,,,,,,,,,,,,0.9565453471536332,,0.9565453476074497,,0.4827436991035938,,,,0.9565453473805414,,23100,,4257,
run,binary_topqg_bit158_sigmoid_f7_fixed,binary_topqg_bit158_sigmoid_f7_fixed__seed43,pytorch,bit158_mlp,43,42,,0.8986886270398855,,,,,,,,,,,,,,,0.954865989731007,,0.9548659917731817,,0.4607368307188153,,,,0.9548659907520943,,23100,,4257,
run,binary_topqg_bit158_sigmoid_f7_fixed,binary_topqg_bit158_sigmoid_f7_fixed__seed44,pytorch,bit158_mlp,44,42,,0.8986079891945287,,,,,,,,,,,,,,,0.9554914989988956,,0.9554914978643541,,0.47144132666289806,,,,0.9554914984316248,,23100,,4257,
run,binary_topqg_bit158_topo_sigmoid_f7_fixed,binary_topqg_bit158_topo_sigmoid_f7_fixed__seed42,pytorch,bit158_mlp,42,42,,0.8982854378131017,,,,,,,,,,,,,,,0.9559914968891021,,0.955991497569827,,0.4657129431143403,,,,0.9559914972294645,,30892,,6337,
run,binary_topqg_bit158_topo_sigmoid_f7_fixed,binary_topqg_bit158_topo_sigmoid_f7_fixed__seed43,pytorch,bit158_mlp,43,42,,0.9002308258323337,,,,,,,,,,,,,,,0.957550247330095,,0.9575502498260863,,0.37543012760579586,,,,0.9575502485780907,,30892,,6337,
run,binary_topqg_bit158_topo_sigmoid_f7_fixed,binary_topqg_bit158_topo_sigmoid_f7_fixed__seed44,pytorch,bit158_mlp,44,42,,0.9012085597072846,,,,,,,,,,,,,,,0.9568518709990468,,0.9568518698645053,,0.3737996146082878,,,,0.9568518704317761,,30892,,6337,
