base_run_name,variant,n,valid_hw_n,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,auc_mean,auc_std,auc_min,auc_max,latency_cycles_mean,latency_cycles_std,latency_cycles_min,latency_cycles_max,lut_mean,lut_std,lut_min,lut_max,ff_mean,ff_std,ff_min,ff_max,dsp_mean,dsp_std,dsp_min,dsp_max,bram18_mean,bram18_std,bram18_min,bram18_max
binary_hgq_topo_128_32,hls4ml_latency_rf1,3,3,0.853429718875502,0.0007164708159823405,0.8526506024096385,0.8540602409638555,0.9275440454079952,0.0005405306024047788,0.9271416155834051,0.9281584322086689,6.333333333333333,0.5773502691896257,6.0,7.0,8165.333333333333,318.5848918786535,7863.0,8498.0,661.0,24.0,637.0,685.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.5773502691896257,1.0,2.0
binary_mlp_baseline_64_32_32,hls4ml_latency_rf1,3,3,0.8595401606425703,0.0002639855907482324,0.8593614457831326,0.8598433734939759,0.9324737243463619,0.00011712054298054982,0.9323458154730129,0.9325757144462619,12.0,0.0,12.0,12.0,183516.33333333334,313.7982366638368,183159.0,183747.0,32079.0,171.21915780659592,31903.0,32245.0,3455.3333333333335,28.29016319029166,3424.0,3479.0,1.0,0.0,1.0,1.0
binary_mlp_topo_128_32,hls4ml_latency_rf1,3,3,0.8593313253012048,3.664314777284063e-05,0.8593072289156627,0.8593734939759036,0.9321333202855907,0.0003452674883167797,0.931833084695634,0.9325106022973398,10.333333333333334,0.5773502691896257,10.0,11.0,269745.0,614.2418090621966,269261.0,270436.0,47314.666666666664,1775.5963317526125,45440.0,48971.0,4980.666666666667,19.008769905844336,4962.0,5000.0,1.0,0.0,1.0,1.0
binary_qkeras_mlp_64_32_32_b7,hls4ml_latency_rf1,3,3,0.8595100401606426,0.00028570564517002296,0.8591927710843373,0.8597469879518073,0.9323853740443476,0.00010370286894484359,0.9322736903719058,0.9324786238076672,9.0,0.0,9.0,9.0,135428.0,953.9502083442301,134848.0,136529.0,10715.0,134.10070842467613,10578.0,10846.0,664.6666666666666,25.006665778014735,636.0,682.0,1.0,0.0,1.0,1.0
binary_qkeras_mlp_binary_64_32_32,hls4ml_latency_rf1,3,3,0.8294417670682731,0.0012045230559544794,0.8280783132530121,0.8303614457831325,0.8886043512814417,0.006334517180870185,0.8819696778225912,0.8945885098994748,20.0,2.0,18.0,22.0,62026.333333333336,386.7768521167384,61590.0,62327.0,16930.333333333332,854.2185512697165,16203.0,17871.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
binary_qkeras_mlp_ternary_64_32_32,hls4ml_latency_rf1,3,3,0.8354518072289157,0.0022976775465038493,0.8329277108433735,0.8374216867469879,0.9024633372971251,0.0012353513387330234,0.9012144136735029,0.903684653586073,11.666666666666666,1.5275252316519468,10.0,13.0,28287.333333333332,3233.8961537645782,25888.0,31965.0,8280.333333333334,1447.6882721543798,6961.0,9829.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
binary_qkeras_topo_128_32_b7,hls4ml_latency_rf1,3,3,0.859656626506024,0.00018819878737124081,0.8594397590361446,0.8597771084337349,0.9324816450573831,0.00021077313634848254,0.9322459758655477,0.932652113663417,8.0,0.0,8.0,8.0,188545.0,738.8917376720354,188000.0,189386.0,16115.666666666666,315.76943065048795,15772.0,16393.0,745.3333333333334,30.89228598426043,727.0,781.0,1.0,0.0,1.0,1.0
binary_qkeras_topo_binary_128_32,hls4ml_latency_rf1,3,3,0.8323413654618473,0.003957158867765716,0.8292710843373494,0.8368072289156626,0.8963517980740995,0.003933767421963704,0.893559272212676,0.9008506205312448,21.666666666666668,0.5773502691896257,21.0,22.0,91422.0,26.057628441590765,91392.0,91439.0,25757.666666666668,215.81550762939472,25517.0,25934.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
binary_qkeras_topo_ternary_128_32,hls4ml_latency_rf1,3,3,0.8394678714859438,0.0018016110809652157,0.8374156626506024,0.840789156626506,0.9077929388347051,0.0004813471282662733,0.9072378286012781,0.9080946709952538,12.0,0.0,12.0,12.0,33086.0,3060.107351058129,30710.0,36539.0,15060.0,472.2033460279586,14516.0,15364.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
binary_xgboost_bdt_d4_100,conifer_tree,3,3,0.8471947791164659,0.00024957020198976385,0.8470301204819277,0.8474819277108434,0.9207511483657939,2.574313546391408e-05,0.9207318808906974,0.9207803852236567,227.0,0.0,227.0,227.0,15442.666666666666,263.0918724197563,15148.0,15654.0,23747.333333333332,408.46093244438117,23356.0,24171.0,207.0,5.0,202.0,212.0,0.0,0.0,0.0,0.0
binary_xgboost_bdt_d4_100,conifer_unrolled,3,3,0.8471947791164659,0.00024957020198976385,0.8470301204819277,0.8474819277108434,0.9207511483657939,2.574313546391408e-05,0.9207318808906974,0.9207803852236567,4.0,0.0,4.0,4.0,74042.66666666667,119.85129675282339,73970.0,74181.0,2804.0,23.065125189341593,2780.0,2826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
